Temp,H,CO_2,Rsun,Tout,Hout,CO2out,Vwind,CO2dos,Lamp,LS,ES,WL,WW,Tp
22.913,75.838,879,196,16.1,72.2,449.9,1.3,1029.6,33.3,20,10,45.038,45.038,41.75
22.688,77.15,931.5,215.6,16.7,67.3,442.6,1.6,1066.2,0,20,10,41.65,41.65,42.675
25.025,65.688,644.5,567.9,18.1,62.5,470,1.7,1030.7,0,20,10,93.912,93.925,30.325
21.525,78.775,1186,90.4,16.7,68,445,2.5,0,33.3,20,10,13.475,13.475,44.175
23.512,70.588,797.5,176.4,17,67.8,501.2,1.7,917.9,66.7,20,10,65.538,65.538,36.675
24.55,65.3,738.5,431.2,18,61,484.1,1.2,1031.6,0,0,0,90.163,90.163,32.475
21.863,69.525,783,204.5,17.5,63.7,451.1,1.8,1034.2,33.3,0,0,27.325,27.325,37.9
23.45,69.963,954,179,17.3,63.7,423.6,1.9,907.2,66.7,0,0,58.9,58.9,35.2
21.85,73.3,730,80.5,16,66.7,408.3,2.5,106.8,66.7,0,0,28.125,28.125,38.7
19.075,77.813,518.5,3.6,15.1,69.2,415,2.2,0,0,0,0,17.4,17.4,42.8
17.45,80.7,480,0.7,13.8,76.1,403.4,1.9,0,0,0,0,24.212,24.212,41.55
17.275,81.425,467.5,0.4,13,83.4,431.5,2,0,0,0,0,17.363,17.363,38.075
17.137,82.6,477.5,0.7,12.5,83.4,412,2.2,0,0,0,0,10.638,10.638,39.075
17.212,82.25,488,0.3,12,83.4,410.1,2.3,0,33.3,0,0,10.875,10.875,39.425
17.95,77.575,720,0.4,11.6,84.6,402.8,1.5,599.6,100,0,0,34.463,34.463,41.2
18.238,76.175,844.5,0.5,11.3,84.6,417.5,1.5,643.6,100,0,0,48.838,48.838,40.875
18.288,77.325,869,0.4,10.7,85.8,405.9,2.2,638.2,100,0,0,44.35,44.35,39.975
18.125,78.162,848,0.3,10.3,86.4,425.4,2.1,215.4,100,0,0,28.438,28.438,40.925
18.625,79.25,895,0.5,10,86.4,434.5,2.1,589.5,100,0,0,16.738,16.738,46
19.65,80.8,990.5,0.4,9.8,86.5,449.9,2,268.2,100,0,0,7.1875,7.1875,46.825
20.775,81.537,1056,0.6,9.7,87.7,451.7,2.1,54.2,100,0,0,5.25,5.25,46.475
21.7,80.1,1039.5,29.7,9.9,88.3,449.3,2.4,168,66.7,0,16.667,10.325,10.325,45.4
21.788,78.612,1012.5,129.5,11.1,84,468.2,3.2,759.3,50,0,13.333,16.925,16.925,47.425
22.9,75.438,994.5,296.9,12.6,80.7,469.4,3.5,803.7,33.3,0,13.333,31.6,0.1125,40.1
22.737,75.588,842,381.3,14.1,77.1,463.3,4.2,1032.4,0,0,13.333,30.475,5.1125,39.775
23.6,72.525,799.5,425.6,15.2,72.4,478.6,4.6,1037.5,0,0,13.333,36.612,2.3,36.6
23.375,70.387,758.5,429.7,16.4,70,468.2,4.4,1300.7,0,0,13.333,46.512,4.975,35.825
26.1,62.862,685,570.5,17.5,68.7,483.5,4.2,1231.1,0,0,13.333,93.5,93.5,30.15
